UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	666
0	1844
0	1237
0	1856
0	1597
0	1755
0	1867
0	1822
0	1385
0	1617
0	1046
0	1119
0	1759
0	1886
0	1083
0	1902
0	1843
0	1640
0	465
0	1480
0	1049
0	1530
0	1473
0	674
0	1419
0	1784
0	1585
0	741
0	1233
0	1116
0	1536
0	867
0	1439
0	1805
0	1789
0	1696
0	1337
0	1538
0	576
0	1743
0	1753
0	1529
0	1550
0	1035
0	1808
0	1674
0	1944
0	728
0	1515
0	905
0	507
0	1465
0	1666
0	1084
0	747
0	853
0	1052
0	1666
0	1153
0	1611
0	1150
0	1742
0	1680
0	538
0	1227
0	1638
0	1207
0	478
0	988
0	954
0	761
0	1838
0	1706
0	1848
0	1484
0	1836
0	1558
0	968
0	1812
0	1809
0	1148
0	448
0	707
0	1483
0	1875
0	1092
0	1587
0	1802
0	1765
0	1482
0	1859
0	1402
0	997
0	1645
0	1509
0	697
0	1542
0	543
0	517
0	880
0	1463
0	1742
0	1456
0	766
0	514
0	461
0	1425
0	1565
0	646
0	857
0	547
0	481
0	628
0	1475
0	1132
0	1224
0	1731
0	735
0	1711
0	649
0	1151
0	1767
0	857
0	752
0	992
0	1891
0	859
0	1463
0	1681
0	1114
0	1758
0	1281
0	1536
0	1838
0	1210
0	1621
0	1749
0	1848
0	1038
0	1069
0	1036
0	937
0	260
0	792
0	99
0	174
0	862
0	479
0	321
0	438
0	1140
0	130
0	525
0	986
0	146
0	314
0	833
0	168
0	463
0	463
0	171
0	331
0	354
0	283
0	1046
0	185
0	949
0	1104
0	923
0	932
0	174
0	423
0	248
0	591
0	527
0	1045
0	1014
0	315
0	1044
0	1057
0	418
0	283
0	59
0	242
0	524
0	943
0	430
0	420
0	721
0	185
0	216
0	375
0	933
0	211
0	720
0	719
0	636
0	449
0	1033
0	360
0	647
0	166
0	693
0	420
0	573
0	127
0	630
0	269
0	928
0	452
0	434
0	217
0	79
0	1081
0	277
0	1025
0	865
0	765
0	675
0	272
0	933
0	325
0	979
0	609
0	119
0	249
0	591
0	464
0	221
0	770
0	126
0	922
0	971
0	308
0	133
0	976
0	408
1	122
0	78
0	128
0	998
0	784
0	720
0	254
0	965
0	155
1	591
0	937
0	393
0	424
0	604
0	674
0	520
0	807
0	595
0	513
0	118
0	558
0	824
0	565
0	407
0	678
0	314
0	938
0	768
0	93
0	629
0	736
0	238
0	47
0	72
0	168
0	436
0	110
0	332
0	154
0	76
0	76
