UniqueCount	AmbigCount
0	2
0	2
0	2
0	2
0	3
0	2
0	2
0	3
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	3
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	0
0	0
0	461
0	1478
0	992
0	1473
0	1244
0	1385
0	1490
0	1458
0	1121
0	1247
0	881
0	899
0	1393
0	1522
0	853
0	1515
0	1448
0	1294
0	296
0	1183
0	832
0	1187
0	1151
0	511
0	1104
0	1428
0	1231
0	568
0	919
0	894
0	1223
0	714
0	1134
0	1441
0	1480
0	1331
0	1086
0	1190
0	415
0	1372
0	1456
0	1258
0	1208
0	807
0	1436
0	1297
0	1543
0	545
0	1188
0	696
0	361
0	1126
0	1369
0	860
0	568
0	636
0	840
0	1336
0	938
0	1258
0	862
0	1388
0	1311
0	377
0	937
0	1276
2	945
0	324
0	766
0	769
0	645
0	1455
0	1420
0	1479
0	1206
0	1455
0	1212
0	763
0	1445
0	1482
0	864
0	283
0	541
0	1208
0	1481
0	845
0	1256
0	1444
0	1402
0	1184
0	1502
0	1082
0	779
0	1357
0	1243
0	507
0	1224
0	382
0	365
0	685
0	1164
0	1403
0	1133
0	571
0	371
0	407
0	1149
0	1218
0	442
0	656
0	473
0	329
0	472
0	1151
0	929
0	978
0	1366
0	551
0	1411
0	505
0	878
0	1421
0	680
0	569
0	802
0	1497
0	658
0	1212
0	1415
0	855
0	1390
0	1054
0	1261
0	1495
0	980
0	1343
0	1378
0	1506
0	820
0	829
0	839
0	845
0	274
0	650
0	109
0	189
0	717
0	445
0	300
0	402
0	962
0	143
0	435
0	824
0	151
0	289
0	716
0	167
0	422
0	420
0	169
0	322
0	335
0	285
0	877
0	186
0	854
0	916
0	766
0	855
0	188
0	406
0	253
0	507
0	492
0	885
0	839
0	310
0	874
0	909
0	334
0	290
0	61
0	257
0	435
0	853
0	393
0	342
0	648
0	193
0	225
0	292
0	772
0	225
0	656
0	626
0	535
0	416
0	856
0	343
0	532
0	154
0	575
0	335
0	515
0	140
0	532
0	246
0	770
0	421
0	370
0	223
0	88
0	903
0	253
0	921
0	725
0	699
0	575
0	248
0	770
0	306
0	813
0	551
0	120
0	254
0	507
0	380
0	231
0	629
0	136
0	765
0	812
0	284
0	143
0	813
0	375
1	149
0	87
0	138
0	842
0	660
0	659
0	274
0	806
0	142
0	478
0	781
0	381
0	384
0	548
0	605
0	472
0	672
0	518
0	437
0	124
0	480
0	679
0	515
0	372
0	580
0	298
0	852
0	628
0	98
0	548
0	603
0	233
0	69
0	102
0	232
0	565
0	118
0	421
0	185
0	79
0	77
0	123
0	76
0	78
0	418
0	80
0	76
2	429
0	1125
0	0
0	0
1	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	42
0	41
0	55
0	42
0	4
2	42
1	54
0	42
0	42
0	52
0	1
0	53
0	36
0	43
0	42
0	42
0	26
0	36
0	0
221	43
0	36
0	77
0	63
0	67
0	42
0	52
0	42
0	44
0	52
0	42
0	36
0	44
0	43
0	43
0	39
0	41
0	42
0	42
0	41
0	40
0	44
0	33
0	36
0	36
0	5
0	17
0	14
0	32
0	16
0	19
0	13
0	35
0	19
0	17
0	17
0	15
0	24
0	0
0	3
1	1
0	0
0	25
0	38
0	8
0	30
0	165
0	0
0	0
0	5
0	5
0	6
0	0
0	5
0	5
0	6
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	8
0	5
0	5
0	5
0	8
0	5
0	6
0	6
0	6
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	5
0	6
